content_id,Name,Year,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
308,Trick 'r Treat,2007,6.8,86032,Comedy.Horror,82,Film,R,1,Moderate,Severe,Moderate,Mild,Moderate
309,Prisoners,2013,8.1,641220,Crime.Drama.Mystery,153,Film,R,1,None,Severe,Severe,Mild,Severe
310,Hereditary,2018,7.3,270994,Drama.Horror.Mystery,127,Film,R,1,Moderate,Severe,Moderate,Moderate,Severe
311,Black as Night,2021,3.9,1087,Drama.Horror.Thriller,87,Film,Not Rated,1,None,Mild,Moderate,Moderate,Moderate
312,The Good Girl,2002,6.4,44437,Drama.Romance,93,Film,R,1,Moderate,Moderate,Moderate,Moderate,Mild
313,Teen Wolf,2002,7.6,136164,Action.Drama.Fantasy,41,Series,TV-14,100,Mild,Moderate,Mild,Mild,Moderate
314,Dr.Death,2021,7.7,7648,Crime.Drama.Thriller,NULL,Series,TV-MA,8,Moderate,Moderate,Severe,Moderate,Mild
315,It,2017,7.3,491621,Horror,135,Film,R,1,Mild,Severe,Severe,Mild,Severe
316,The Father,2020,8.3,101279,Drama,97,Film,PG-13,1,None,Mild,Mild,Mild,Moderate
317,Die Another Day,2002,6.1,212253,Action.Adventure.Thriller,133,Film,PG-13,1,Moderate,Moderate,Mild,Mild,Moderate
318,Call the Midwife,2002,8.5,22472,Drama.History,60,Series,TV-PG,89,None,Mild,None,Mild,Mild
319,Inception,2010,8.8,2178860,Action.Adventure.Sci-Fi,148,Film,PG-13,1,None,Moderate,Mild,Mild,Moderate
320,Doctor Sleep,2019,7.3,167153,Drama.Fantasy.Horror,152,Film,R,1,Mild,Severe,Moderate,Moderate,Severe
321,Pulp Fiction,1994,8.9,1915230,Crime.Drama,154,Film,R,1,Moderate,Severe,Severe,Severe,Moderate
322,Ask 101,1994,7.5,12077,Comedy.Drama.Romance,40,Series,TV-14,16,Mild,Mild,Severe,Moderate,Mild
323,The Departed,2006,8.5,1244747,Crime.Drama.Thriller,151,Film,R,1,Moderate,Severe,Severe,Moderate,Severe
324,Spider-Man,2002,7.3,728050,Action.Adventure.Sci-Fi,121,Film,PG-13,1,Mild,Moderate,Mild,None,Moderate
325,Euphoria,2002,8.4,79994,Drama,55,Series,TV-MA,15,Severe,Moderate,Severe,Severe,Severe
326,The Umbrella Academy,2002,8,182838,Action.Adventure.Comedy,60,Series,TV-14,30,Mild,Moderate,Mild,Moderate,Mild
327,Once Upon a Time,2002,7.7,214885,Adventure.Fantasy.Romance,60,Series,TV-PG,156,Mild,Mild,Mild,Mild,Mild
328,Reminiscence,2021,5.9,36510,Mystery.Romance.Sci-Fi,116,Film,PG-13,1,Mild,Moderate,Mild,Moderate,Moderate
329,Hollington Drive,2021,4.6,254,Thriller,60,Series,NULL,4,No Rate,No Rate,No Rate,No Rate,No Rate
330,Heartland,2021,8.4,13006,Drama.Family,45,Series,TV-PG,225,None,Mild,Mild,Mild,None
331,Boku no hîrô akademia,2021,8.4,48172,Animation.Action.Adventure,24,Series,TV-14,117,Mild,Moderate,Mild,None,Mild
